"土09","業務④の内容：護岸に採用した工法は？","ブロック積み護岸"
"土10","業務④の内容：ブロック積み護岸を採用した際の考慮事項は？（二つ）","施工性と安全性"
"土11","業務④の内容：ブロック積み護岸は、何との整合を図ったか？","道路拡幅"
"土12","業務④のあなたの役割は？","主担当者"
"土13","業務④の役割：主担当者として調整した事項を3つ挙げよ。","用地制約、排水能力、道路設計の整合性"
"土14","業務④の役割：誰との協議を主導したか？（二者）","道路管理者、河川管理者"
"土15","業務④の役割：管理者との協議を主導し、何を図ったか？","円滑な業務遂行"
"土16","業務④の目的：新病院の開院に伴う（　　）の道路拡幅設計に対応。","緊急車両通行路"
"土17","業務④の目的：隣接する急傾斜河川の護岸を安定させ、（　　）を確保した計画。","流下能力"
"土18","業務④の内容：急勾配河川の流下能力を確保するため、（　　）と（　　）の床固工群を計画。","落差工、帯工"
"土19","業務④の内容：護岸は道路との（　　）を考慮してブロック積み護岸とした。","近接施工"
"土20","業務④の役割：主担当者として、用地制約、排水能力、（　　）の整合性を調整した。","道路設計"
"静01","業務⑦の名称は？","大岩排水区大岩地区雨水管渠実施設計（基本設計）業務委託"
"静02","業務⑦の発注者は？","静岡市上下水道局"
"静03","業務⑦の履行期間（年月）は？","令和5年9月～令和6年1月"
"静04","業務⑦の目的：何に基づいた計画か？","雨水排水総合計画"
"静05","業務⑦の目的：対象となった排水区の面積は？","21.8ha"
"静06","業務⑦の目的：計画にあたり配慮した事項を3つ挙げよ。","施工性、周辺環境、経済性"
"静07","業務⑦の内容：解決策の主要な手法を3つ挙げよ。","幹線水路の分流、排水区域の細分化、既存ストックの有効活用"
"静08","業務⑦の役割：あなたの役割は？","主担当者"
"静09","業務⑦の役割：主担当者として、何を行ったか？","基本設計業務の全般にわたる計画の立案"
"静10","業務⑦の役割：誰と協議・調整を行ったか？","発注者及び関係者"
"静11","技術上の問題点：浸水要因は、ネック地点における何が不足していたことか？","流水断面"
"静12","技術上の問題点：単純に水路を改築し、幹線へ接続した場合の懸念点は何か？","別地点での浸水の誘発"
"静13","技術上の問題点：対策として、放流先をどうしたか？","二分して負担を分散"
"静14","技術上の問題点：対策として、既存水路の流路をどうしたか？","制限・再配分（排水区域を細分化）"
"静15","技術上の問題点：上流側へ放流するにあたり、事前に何を確認したか？","当該区間の流下能力"
"静16","技術上の問題点：流下能力の確認を踏まえ、何を設けたか？","時刻・流量の制御"
"静17","技術上の問題点：対策の結果、分流幹線のサイズはどう変化したか？","最大1400×1400から1200×1200へ縮小"
"静18","技術上の問題点：分流幹線の縮小により、両立できたことは何か？（二つ）","埋設物との干渉低減、土被りの確保"
"静19","技術上の問題点：分流点に大型桝を設置しなかった理由は？","交通影響が大きいため"
"静20","技術上の問題点：大型桝の代替として、既存幹線内に何を設置したか？","越流壁"
"静21","技術上の問題点：越流壁は何を利用した制御方法か？","水位差を利用した越流制御"
"静22","技術上の問題点：越流壁の設置により、何を回避できたか？","大規模な開削"
"静23","実施上の問題点：業務が短期工期であったため、誰との工程調整が必要だったか？","測量班"
"静24","実施上の問題点：測量も伴ったため、誰への周知・安全配慮を徹底したか？","住民"
"静25","実施上の問題点：手戻りを抑制するために、誰と何を実施したか？","測量班・発注者との現地合同踏査"
"静26","実施上の問題点：資料が不明確な古い水路について、何を整理したか？","公私道区分や用途・所有者・権利関係"
"静27","実施上の問題点：古い水路の整理にあたり、参考にした資料・手段を3つ挙げよ。","公図、過去文献、関係者聴取"
"静28","実施上の問題点：分流水路が生活道路と重なる区間で、何を組み込んで計画したか？","段階施工、占用計画、仮復旧"
"静29","実施上の問題点：合意形成を進めるにあたり、何との施設連携を図ったか？","河川・下水道・道路・公園"
"静30","実施上の問題点：上流側の放流先河川について、誰と何を協議したか？","河川管理者と放流条件"
"静31","評価：浸水被害の解決と同時に、何に配慮したか？","周辺住民の生活環境"
"静32","評価：計画で重点を置いたことは何か？","既存ストックを有効活用すること"
"静33","評価：上流側への放流条件を事前確認することで、何を回避したか？","別地点での氾濫誘発"
"静34","評価：被害軽減と施工実現性の両立に加え、何にも繋がったか？","コスト削減"
"静35","評価：短期工期に対応するため、どのような姿勢を心掛けたか？","フロントローディングな姿勢"
"静36","評価：フロントローディングな対応として、早期に行ったことを挙げよ。","（広範な）情報収集、社内チーム及び発注者との協調、関係者協議"
"静37","評価：フロントローディングな対応により、何を抑制できたか？","手戻り"
"静38","技術上の問題点：（　　）地点における流水断面の不足が浸水要因であった。","ネック"
"静39","技術上の問題点：既存幹線内に（　　）を設置し、大規模な開削を回避した。","越流壁"
"静40","技術上の問題点：結果として、（　　）の適正化と浸水被害を軽減した。","下流負荷"
"静41","実施上の問題点：短期工期の中で（　　）も伴ったため、測量班との工程調整が必要だった。","測量"
"静42","実施上の問題点：資料不明確な水路は（　　）・過去文献・関係者聴取により整理した。","公図"
"静43","評価：計画では（　　）と排水区域の細分化のバランスを取り、既存ストックを有効活用した。","分流幹線"
"静44","評価：短期工期であったことから、（　　）な姿勢での対応を心掛けた。","フロントローディング"
"静45","評価：早期の関係者協議などにより相互理解を深め、（　　）を抑制した。","手戻り"
